,arch,activation,attack,iterations,eps 2,eps 4,eps 6,eps 8,eps 10,SROCC,PLCC
53,resnet101-Linearity+cayley_pool,Frelu_elu,PGD,3,-0.034540107809557,-0.0591066445692315,-0.0774517663404964,-0.085321212970814,-0.0882717433117131,0.8795957750046732,0.8886217142549228
54,resnet101-Linearity+cayley_pool,Frelu_elu,PGD,5,-0.0201136104823735,-0.0426727043515194,-0.0562052914786282,-0.0639498433303929,-0.0687579238908445,0.8795957750046732,0.8886217142549228
55,resnet101-Linearity,sqish,PGD,1,0.2146670701732702,0.1635216887615112,0.1022207266311441,0.0461107485580627,-0.0039545211227259,0.9225713675220296,0.9354429382223828
56,resnet101-Linearity,sqish,PGD,3,0.5104868432186894,0.5075623436492712,0.4761309326669363,0.4467347743161253,0.4166701473363651,0.9225713675220296,0.9354429382223828
57,resnet101-Linearity,sqish,PGD,1,0.2631818974544073,0.2224493100592228,0.1773983117742175,0.1427259869986884,0.1152998332434803,0.9225713675220296,0.9354429382223828
58,resnet101-Linearity,sqish,PGD,3,0.5463964220249734,0.5414402044409806,0.517751398237631,0.4954833196537174,0.4759730455526442,0.9225713675220296,0.9354429382223828
59,resnet101-Linearity,sqish,PGD,5,0.7211916513308276,0.7493496403866368,0.7078024563275912,0.6278685294471589,0.5509273632328918,0.9225713675220296,0.9354429382223828
60,resnet101-Linearity,sqish,PGD,5,0.7377341717340729,0.7489058224386139,0.7118333813222483,0.6501194212201413,0.5919423319137332,0.9225713675220296,0.9354429382223828
61,resnet101-Linearity,silu,PGD,1,0.1712785182318895,0.14286456285162,0.1053563418340977,0.0720723060794995,0.0414359809441982,0.9214650984923364,0.9333832056641794
62,resnet101-Linearity,Fsilu,PGD,1,0.1323995347735421,0.1602604270546597,0.1666877790407026,0.1587411911221827,0.1313466121518892,0.8234182860881981,0.7860969855020901
63,resnet101-Linearity,silu,PGD,1,0.2496284675337317,0.222045130883523,0.1929419422618723,0.173427404032356,0.1595095783733943,0.9214650984923364,0.9333832056641794
64,resnet101-Linearity,Fsilu,PGD,1,0.1918088378444581,0.2171938232291081,0.2260381079769063,0.2278927865623096,0.2114775872436144,0.8234182860881981,0.7860969855020901
65,resnet101-Linearity,Fsilu,PGD,3,0.2138849706249745,0.2290621240958137,0.1990312399550344,0.1435594356354179,0.0834769901678326,0.8234182860881981,0.7860969855020901
66,resnet101-Linearity,silu,PGD,3,0.3920463443192012,0.4139799695508917,0.406478882934286,0.392468480291826,0.3746291302846971,0.9214650984923364,0.9333832056641794
67,resnet101-Linearity,Fsilu,PGD,5,0.2470204330376247,0.242765147612671,0.2150536692940232,0.171823156449143,0.1146564563440382,0.8234182860881981,0.7860969855020901
68,resnet101-Linearity,silu,PGD,5,0.5703793491431163,0.6297647968879955,0.6160464726163354,0.5606583088170863,0.5035412255510818,0.9214650984923364,0.9333832056641794
69,resnet101-Linearity,Fsilu,PGD,8,0.2652322734186996,0.2426991654556435,0.22147993355757,0.1838962702860654,0.133400721517792,0.8234182860881981,0.7860969855020901
70,resnet101-Linearity,silu,PGD,8,0.7947807297333925,0.8605481660719696,0.7851341708721218,0.6845796884806005,0.594276889350331,0.9214650984923364,0.9333832056641794
71,resnet101-Linearity,Fsilu,PGD,5,0.3854352791252125,0.396428686980243,0.382397981506362,0.3533436175206585,0.3113150820286658,0.8234182860881981,0.7860969855020901
72,resnet101-Linearity,Fsilu,PGD,3,0.3227466781784902,0.3492124010801972,0.33079775498617,0.3010724589818754,0.2637126796316547,0.8234182860881981,0.7860969855020901
73,resnet101-Linearity,silu,PGD,3,0.4957413951425429,0.509152087599831,0.4990203282927332,0.4857391190313159,0.4723910906221707,0.9214650984923364,0.9333832056641794
74,resnet101-Linearity,silu,PGD,5,0.6607618399909736,0.6922131591630545,0.6709463772461942,0.6223839869619766,0.5755006100373549,0.9214650984923364,0.9333832056641794
75,resnet101-Linearity,silu,PGD,8,0.8655606569881089,0.8911838882712838,0.8103531584059365,0.720607241412728,0.6454713936179879,0.9214650984923364,0.9333832056641794
76,resnet101-Linearity,Fsilu,PGD,8,0.4174080277233107,0.4021515191726899,0.3855767234730289,0.3601350400509475,0.3227991578997758,0.8234182860881981,0.7860969855020901
77,resnet101-Linearity,sqish,PGD,8,0.9763016025651152,1.003462707599701,0.8844029622008648,0.7524772765425438,0.6386176982157148,0.9225713675220296,0.9354429382223828
78,resnet101-Linearity,Frelu_elu,PGD,8,-0.1279739760012433,-0.1808349455287999,-0.2121102545754475,-0.2394723349373151,-0.2616253615553948,0.891110186601982,0.8978851650727864
79,resnet101-Linearity,sqish,PGD,8,0.9646093346345236,0.9597611477373728,0.8534718554505272,0.7468387683830644,0.6616688710257664,0.9225713675220296,0.9354429382223828
80,resnet101-Linearity,Frelu_elu,PGD,8,0.0891360629660027,0.0659613843173877,0.0414647820978968,0.0152837098368557,-0.0106418605950688,0.891110186601982,0.8978851650727864
81,resnet101-Linearity+gr,relu,PGD,8,0.7223121376291463,0.7837108931190269,0.7020903876069956,0.6007276301436386,0.509617176239269,0.9044099532663302,0.9207523049688774
82,resnet101-Linearity,relu,PGD,1,12.724079975762454,10.9285859078163,8.483508879881862,6.227974290189004,4.202835058974061,0.9225319365302196,0.934034873216349
83,resnet101-Linearity,relu,PGD,1,18.41960452109016,16.77509135143637,14.977070038774489,13.77580878824818,12.93826524101785,0.9225319365302196,0.934034873216349
84,resnet101-Linearity,relu,PGD,1,0.1741355020279344,0.1493907176950526,0.115895649694152,0.0852207099368267,0.0575786983584968,0.9225319365302196,0.934034873216349
85,resnet101-Linearity,relu,PGD,1,0.251865195204521,0.2294476713930856,0.2045148062323959,0.1883219671414698,0.176843246123152,0.9225319365302196,0.934034873216349
86,resnet101-Linearity+gr,relu,PGD,8,0.7424216496354844,0.7825474660063314,0.7156057262527379,0.6367077257175727,0.5691798612965902,0.9044099532663302,0.9207523049688774
87,resnet101-Linearity+cayley_pool,relu,PGD,1,4.6909212263974585,3.294556773653288,1.7786363549354935,0.527274145012261,-0.5182311693315289,0.9230644109618434,0.9356322999704892
88,resnet101-Linearity,Fsilu,PGD,1,16.387513144833903,19.84112095415726,20.62719558859689,19.670688175948538,16.246409038375415,0.8234182860881981,0.7860969855020901
89,resnet101-Linearity,Fsilu,PGD,3,26.473212346876394,28.35126280762648,24.643740255829663,17.884631965545335,10.885293886985988,0.8234182860881981,0.7860969855020901
90,resnet101-Linearity,Fsilu,PGD,1,23.7504536495946,26.89867390155981,27.99038344082368,28.216602902145823,26.179490552554807,0.8234182860881981,0.7860969855020901
91,resnet101-Linearity,Fsilu,PGD,3,39.96605585875407,43.23847194884339,40.96503690487759,37.27583987975037,32.5520809465477,0.8234182860881981,0.7860969855020901
92,resnet101-Linearity,relu,PGD,1,15.172559009118034,13.01713303989362,11.058469808700805,9.818865985955853,8.9709344054982,0.9225319365302196,0.934034873216349
93,resnet101-Linearity,Fsilu,PGD,5,30.588592778401527,30.030893686878727,26.580290830178736,21.54114495313465,14.75551261337005,0.8234182860881981,0.7860969855020901
94,resnet101-Linearity,Fsilu,PGD,8,32.83641007691092,30.018973126257848,27.35367202423652,23.02471377479782,16.436428503364077,0.8234182860881981,0.7860969855020901
95,resnet101-Linearity,relu,PGD,3,32.82870787174435,34.12953795229533,33.84653523276285,33.29489447532967,32.65403239029598,0.9225319365302196,0.934034873216349
96,resnet101-Linearity,relu,PGD,5,45.42540933794481,48.31953794363488,47.36854221575208,44.13161888834248,40.81699996890536,0.9225319365302196,0.934034873216349
97,resnet101-Linearity+cayley_pool,relu,PGD,3,37.50276509945577,36.79547341659544,34.63854598433161,32.525210298000594,30.523951689954337,0.9230644109618434,0.9356322999704892
98,resnet101-Linearity,relu,PGD,8,60.267067742218266,62.53865142611246,57.34841944635187,51.31038110905136,46.138140718738605,0.9225319365302196,0.934034873216349
99,resnet101-Linearity+cayley_pool,relu,PGD,1,15.906832302794353,11.836562490604733,7.8555722101908545,4.886613997573248,2.6994176104715386,0.9230644109618434,0.9356322999704892
100,resnet101-Linearity+cayley_pool,relu,PGD,5,53.9507180216525,54.61130283584123,50.76876457823256,44.83543810676426,39.39375517624677,0.9230644109618434,0.9356322999704892
101,resnet101-Linearity+cayley_pool,relu,PGD,8,75.14159305363835,73.7886818060866,63.06940763530111,52.550944529267575,44.64832635409179,0.9230644109618434,0.9356322999704892
102,resnet101-Linearity+gr,relu,PGD,1,11.189515731571833,9.264948153759908,7.434527761060687,6.067312299384358,4.793229019799077,0.9044099532663302,0.9207523049688774
103,resnet101-Linearity,Frelu_elu,PGD,1,-3.972261449380254,-5.6053857325407765,-6.470990701070637,-7.160059233490466,-7.796372366826751,0.891110186601982,0.8978851650727864
104,resnet101-Linearity+gr,relu,PGD,3,25.09874295106669,26.326161304995704,26.24225826746172,25.50191296782342,25.02570526153849,0.9044099532663302,0.9207523049688774
105,resnet101-Linearity+gr,relu,PGD,5,35.50548320345311,38.632363692290056,37.93346244271643,35.05371773039876,31.96160713233193,0.9044099532663302,0.9207523049688774
106,resnet101-Linearity+gr,relu,PGD,8,48.281145353449645,51.772318334634505,47.339769860916114,41.76100105632558,36.88876981116601,0.9044099532663302,0.9207523049688774
107,resnet101-Linearity,Frelu_elu,PGD,3,-2.3474192644329683,-2.4091533466783512,-3.692596611938114,-5.620206710646858,-7.750738067250722,0.891110186601982,0.8978851650727864
108,resnet101-Linearity,Frelu_elu,PGD,5,-0.4941173039397978,-1.4548888731112168,-3.727705944973836,-5.521518540449087,-7.129365957341293,0.891110186601982,0.8978851650727864
109,resnet101-Linearity,Frelu_elu,PGD,8,0.9327246035372324,-1.0973956221147578,-3.008465736522313,-4.907089381427314,-6.639230968333129,0.891110186601982,0.8978851650727864
110,resnet101-Linearity+prune=0.1l2+cayley_pool,relu,PGD,1,15.6996533992733,11.041294510350347,6.7415988665008495,3.5084670818442745,1.14866616466425,0.9225011091017244,0.9365734858316104
111,resnet101-Linearity+prune=0.1l2+cayley_pool,relu,PGD,3,35.253334932267094,33.48051801563776,30.867557358467085,28.41477354071275,26.24798393580313,0.9225011091017244,0.9365734858316104
112,resnet101-Linearity+prune=0.1l1,relu,PGD,1,13.720675250918871,11.553355693730012,8.720414782375974,6.153117731778853,3.914630405408999,0.9249034990015104,0.9367963210147376
113,resnet101-Linearity+prune=0.1l1,relu,PGD,3,32.74535278785006,34.53127329985654,33.98173502309419,32.95145631137469,31.76831280227116,0.9249034990015104,0.9367963210147376
114,resnet101-Linearity+prune=0.1l1,relu,PGD,1,13.748015811856009,11.584205504378223,8.731159665034719,6.126181209839426,3.865923059721682,0.9249034990015104,0.9367963210147376
115,resnet101-Linearity+prune=0.1l2,relu,PGD,1,14.134900319628128,11.668410217939105,8.50027625343188,5.61246527339227,3.043047829098692,0.9249792317297366,0.9367483501841104
116,resnet101-Linearity+prune=0.1l1,relu,PGD,3,32.74051493813834,34.555804885176386,33.990642891347875,32.93681042410909,31.879698336230646,0.9249034990015104,0.9367963210147376
117,resnet101-Linearity+prune=0.1l2,relu,PGD,3,32.48286267582453,33.32152100420507,32.2060802024245,30.91666076615485,29.65626534581673,0.9249792317297366,0.9367483501841104
118,resnet101-Linearity+prune=0.1l1,relu,PGD,5,47.23556861559609,51.97086934481746,51.00634565724249,46.77663056361905,42.34293218851831,0.9249034990015104,0.9367963210147376
119,resnet101-Linearity+prune=0.1l1,relu,PGD,8,64.98742088538866,69.90319722860849,64.28640660239927,56.56640597329907,49.67387438748279,0.9249034990015104,0.9367963210147376
120,resnet101-Linearity+prune=0.1l1,relu,PGD,1,18.883515968696543,16.84572689562199,14.672944180866068,13.263511895396038,12.338842134065604,0.9249034990015104,0.9367963210147376
121,resnet101-Linearity+prune=0.1l2,relu,PGD,5,46.10083227192185,49.44352195443548,47.950821936145466,43.527386717615855,39.02173651355227,0.9249792317297366,0.9367483501841104
122,resnet101-Linearity+prune=0.1l2,relu,PGD,8,63.27563165671952,67.24643130334125,60.86799952084341,52.65160516916989,45.56648819847298,0.9249792317297366,0.9367483501841104
123,resnet101-Linearity+prune=0.1l2,relu,PGD,1,18.939247153436632,16.70570295124006,14.304455198324614,12.745859314748673,11.793457123257106,0.9249792317297366,0.9367483501841104
124,resnet101-Linearity+prune=0.1l1,relu,PGD,3,38.82411805821709,39.66461558368985,38.79560965614268,37.84377959735929,36.95034270624526,0.9249034990015104,0.9367963210147376
125,resnet101-Linearity+prune=0.1l1,relu,PGD,5,52.48721933257888,54.47390438851596,52.76555768950376,48.9820686422758,45.35205473794095,0.9249034990015104,0.9367963210147376
126,resnet101-Linearity+prune=0.1l1,relu,PGD,8,68.15119100942057,69.14282532983727,62.98966898262498,56.35467707564528,50.75898921842187,0.9249034990015104,0.9367963210147376
127,resnet101-Linearity+prune=0.1l2,relu,PGD,3,37.90721293698203,38.176723572991904,37.14749389915332,36.1299925820008,35.23981602582907,0.9249792317297366,0.9367483501841104
128,resnet101-Linearity+prune=0.1l1,relu,PGD,1,15.543217979024792,12.885092979904956,10.555386119229311,9.114636183889823,8.112139141834316,0.9249034990015104,0.9367963210147376
129,resnet101-Linearity+prune=0.1l1,relu,PGD,3,34.8705965575338,35.90349336638379,35.3615463925164,34.6195496650625,33.8385405774452,0.9249034990015104,0.9367963210147376
130,resnet101-Linearity+prune=0.1l1,relu,PGD,5,48.74800439324228,51.462993267410845,50.12274770970895,46.44821589811587,42.79247374845709,0.9249034990015104,0.9367963210147376
131,resnet101-Linearity+prune=0.1l2,relu,PGD,5,50.22853023432703,51.42144499437783,49.55346462007508,45.9148918153882,42.53559459973835,0.9249792317297366,0.9367483501841104
132,resnet101-Linearity+prune=0.1l1,relu,PGD,8,65.05229377914553,67.07299791611456,61.10548428881901,54.36951241923049,48.61583460094826,0.9249034990015104,0.9367963210147376
133,resnet101-Linearity+prune=0.1l2+cayley_pool,relu,PGD,5,49.6365756292571,48.94574620276188,44.44766009975447,38.45881375857564,33.22169594061331,0.9225011091017244,0.9365734858316104
134,resnet101-Linearity+prune=0.1l2,relu,PGD,8,65.29133757957536,65.57587209182795,58.96689652047112,52.31608307668687,47.09767496105659,0.9249792317297366,0.9367483501841104
135,resnet101-Linearity+prune=0.1l2+cayley_pool,relu,PGD,8,68.91990653309675,66.16397939957743,54.90074431631003,44.552378561102415,36.77279643414108,0.9225011091017244,0.9365734858316104
136,resnet101-Linearity+prune=0.1l2,relu,PGD,1,15.54845598081855,12.563021833632538,9.959291463480538,8.275046953017137,7.230957143841651,0.9249792317297366,0.9367483501841104
137,resnet101-Linearity+prune=0.1l2,relu,PGD,3,34.02992143091882,34.39040135140369,33.61842935389253,32.75876647115507,31.916330869213496,0.9249792317297366,0.9367483501841104
138,resnet101-Linearity+prune=0.1l2,relu,PGD,5,46.59991424310718,48.45790587516455,46.92835028433046,43.27362847017089,39.73589148772897,0.9249792317297366,0.9367483501841104
139,resnet101-Linearity+prune=0.1l2,relu,PGD,8,62.06531120983367,63.31598288399864,57.02136549383357,50.25188548776907,44.71546773310836,0.9249792317297366,0.9367483501841104
140,resnet101-Linearity,relu,PGD,1,18.414235679633304,16.782988747093952,14.96930351689585,13.774043312617165,12.928311702909962,0.9225319365302196,0.9340348779119612
141,resnet101-Linearity,relu,PGD,1,18.41668075623809,16.77668600438835,14.982439740639418,13.778138971506737,12.922869015440584,0.9225319365302196,0.934034873216349
142,resnet101-Linearity,relu,PGD,1,18.41573554082745,16.774632840941727,14.97884501847574,13.775513408625065,12.92602236169534,0.9225319365302196,0.9340348779119612
143,resnet101-Linearity,relu,PGD,1,12.723233790925686,10.93662470506166,8.473473741298681,6.261748739616658,4.233167098713613,0.9225319365302196,0.9340348779119612
144,resnet101-Linearity,relu,PGD,1,12.715611356777922,10.918083186801464,8.472907380258683,6.267084966803097,4.257148552091043,0.9225319365302196,0.934034873216349
145,resnet101-Linearity,relu,PGD,1,12.719472520032996,10.956925016135951,8.489508813751694,6.237026067794536,4.209012982664927,0.9225319365302196,0.934034873216349
146,resnet101-Linearity,relu,PGD,1,12.7121228764689,10.930222697544838,8.481068075197708,6.233174696751568,4.241982601974283,0.9225319365302196,0.9340348779119612
147,resnet101-Linearity,relu,PGD,1,-1.218931104457028,-4.276371228378509,-3.3099101654037506,-2.1635456550969137,-0.7446019884562334,0.7365504975096702,0.7421770125521895
148,resnet101-Linearity,relu,PGD,1,8.739053520458288,8.13231283543818,9.891896624661014,11.74804165274064,13.425012174241502,0.7365504975096702,0.7421770125521895
149,resnet101-Linearity,relu,PGD,3,3.445296475728511,2.0286073586372124,2.4747611461352537,2.8472405400942944,3.0495493037340498,0.7365504975096702,0.7421770125521895
150,resnet101-Linearity,relu,PGD,3,13.585672268035731,13.3726714655326,15.247183319708784,17.240857296119785,18.314303582698795,0.7365504975096702,0.7421770125521895
151,resnet101-Linearity+gr,Frelu_elu,PGD,1,-2.822216980421933,-4.657942101127684,-6.530805501358036,-8.540759531925469,-10.661577706024,0.8703850314650657,0.8792298383942692
152,resnet101-Linearity+gr,Frelu_elu,PGD,3,-4.903603917787079,-8.911296544267614,-13.40553730965296,-18.657414765736824,-24.052872224500494,0.8703850314650657,0.8792298383942692
153,resnet101-Linearity+gr,Frelu_elu,PGD,5,-6.8122087753002125,-13.2289290229832,-18.801242950148144,-22.073625401778003,-25.24238814406906,0.8703850314650657,0.8792298383942692
154,resnet101-Linearity+gr,Frelu_elu,PGD,1,-4.056141151529495,-4.721165154672817,-5.15944940527174,-5.698481458715742,-6.499241504633536,0.8703850314650657,0.8792298383942692
155,resnet101-Linearity+gr,Frelu_elu,PGD,3,-4.699298845572267,-5.966949799783048,-8.306680608972714,-11.729955792142146,-15.81170322094971,0.8703850314650657,0.8792298383942692
156,resnet101-Linearity+gr,Frelu_elu,PGD,5,-5.25252362052105,-8.198492437486683,-11.993838369546104,-14.560235234720654,-17.242412453470216,0.8703850314650657,0.8792298383942692
157,resnet101-Linearity,Frelu_relu,PGD,1,19.13351837348028,16.95793439067113,14.335575597426978,11.979492329557685,9.890764541511183,0.891110186601982,0.8978851650727864
158,resnet101-Linearity,Frelu_relu,PGD,1,23.91615079650259,21.9816327056121,20.09726689363893,18.868619434932125,18.00573205787179,0.891110186601982,0.8978851650727864
159,resnet101-Linearity+gr,Frelu_relu,PGD,1,17.20507167169136,15.477022875286238,13.285451459070162,11.158195849094437,9.405181406533693,0.8703850314650657,0.8792298383942692
